Samael               has invoked An Aether Aura.
Weibble              has given Sheriff Malox the corpse of a goblin scout.
Weibble              has given Kimel a faded green shirt.
Weibble              has given Kimel a straw hat.
Kimel                has given Weibble a faded green shirt.
Kimel                has given Weibble a straw hat.
Kyrigan              has given Constable Meadows human female guard A blood-covered crown.
Constable Meadows human female guard has given Kyrigan Rohr's Mail.
Weibble              has given Sheriff Malox the corpse of a goblin scout.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Weibble              has given priest turath the corpse of a beholder.
priest turath        has given Weibble an adventurer's belt.
Althea               has given Weibble a delicious meat pie.
Althea               has given Weibble a delicious meat pie.
Althea               has given Weibble a yellow banana.
Althea               has given Weibble a cheese wheel.
Alliance Leader Rodaen has given Weibble a lantern of hope.
Althea               has given Weibble a loaf of wheat bread.
Althea               has given Weibble a yellow banana.
Althea               has given Weibble a yellow banana.
Althea               has given Weibble a red apple.
Weibble              has given Althea a ring of sorrow.
Weibble              has given Althea a three headed whip.
Althea               has given Weibble a three headed whip.
Althea               has given Weibble a ring of sorrow.
Weibble              has given Althea a vorpal bladed short sword.
Weibble              has given Althea a blackened cadaver cloak.
Weibble              has given Althea a blackened cadaver pair of leggings.
Weibble              has given Althea a blackened short bow.
Weibble              has given Althea a blackened bracer.
Althea               has given Weibble a vorpal bladed short sword.
Althea               has given Weibble a blackened cadaver cloak.
Althea               has given Weibble a blackened cadaver pair of leggings.
Althea               has given Weibble a blackened short bow.
Althea               has given Weibble a blackened bracer.
Prison Sergeant Thomes has given Weibble a master key.
Prison Sergeant Thomes has given Weibble an iron helmet.
Karnae Captain Guard has given Weibble a steel-shod quarterstaff .
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Althea               has given Weibble a cheese wheel.
Althea               has given Weibble a red apple.
Althea               has given Weibble a yellow banana.
Althea               has given Weibble a delicious meat pie.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
ding ding ding.
Ludum                has given Myrlan a gold dragon orb.
Myrlan               has given fire giant Gydashei a face mask of gydashei.
fire giant Gydashei  has given Myrlan a face plate.
Myrlan               has given Silver Dragon Kaesaw an emerald gem stone.
Silver Dragon Kaesaw has given Myrlan a dragon cape of the chameleon .
Ludum                has given Myrlan a sparkling gem.
Vladaar              has invoked a golden flask.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Norrindio            has given Watchman guard a red apple.
Norrindio            has given Watchman guard a yellow banana.
Norrindio            has given Watchman guard a cheese wheel.
Weibble              has given Kimel a ornate-ring, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a ornate-ring, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a ornate-ring, legendary forged from bright-light-green titanium ore.
Kimel                has given Weibble a ornate-ring, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel &ck&ci&zn&we&wt&ci&cc&z-&ce&cn&ze&wr&wg&cy&c-&cs&ch&zi&we&wl&cd&d.
Norrindio            has given Watchman guard a cheese wheel.
Kimel                has given Weibble &ck&ci&zn&we&wt&ci&cc&z-&ce&cn&ze&wr&wg&cy&c-&cs&ch&zi&we&wl&cd&d.
Kimel                has given Weibble a thin metal collar.
Kimel                has given Weibble the bottom half of a thin metal collar.
Weibble              has given Kimel a thin metal collar.
Kimel                has given Weibble the top half of a thin metal collar.
Kimel                has given Weibble a cheese wheel.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a pair of flexible, thin metal upper-arm guards.
Weibble              has given Kimel a pair of flexible, thin metal upper-arm guards.
Kimel                has given Weibble a dark red pair of matching titanium armbands.
healer yochlol priestess has given Vesxi a note list.
teacher blademaster jardal drow has given Vesxi a curved dagger.
Kimel                has given Weibble a pair of pants reinforced with small metal plates.
magical Dralak dark elf warlock has given Vesxi a packet of talyaka roots.
magical Dralak dark elf warlock has given Vesxi a mana rejuvenation potion.
Kimel                has given Weibble a paper-wrapped roll of coins.
Sergeant Durgas black tower orc militia has given Vesxi a jar of blackened war paint.
Kimel                has given Weibble a white faintly glowing aura.
Kimel                has given Weibble a thin-bladed skinning knife.
Kimel                has given Weibble a back-plate, legendary forged from bright-light-green titanium ore.
Weibble              has given Kimel a back-plate, legendary forged from bright-light-green titanium ore.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a leather cloak, masterfully tanned from bugbear.
Weibble              has given Singar a leather cloak, masterfully tanned from bugbear.
Singar               has given Weibble a hooded monks robe.
